url;image;inventoryNumber;description;date;dating;place;otherNames;material;technique;team;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=9&fraza=&idx=57e3b6b1;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_009.jpg";M?J-XVI 1517 / 00 / 009; por. Tadeusz Soko?owski 1 p.szw., skok przez mur z dr?giem, klacz Wró?ka; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=9&fraza=&idx=57e3b6b1;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_009.jpg";M?J-XVI 1517 / 00 / 009; por. Tadeusz Soko?owski 1 p.szw., skok przez mur z dr?giem, klacz Wró?ka; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=9&fraza=&idx=57e3b6b1;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_009.jpg";M?J-XVI 1517 / 00 / 009; por. Tadeusz Soko?owski 1 p.szw., skok przez mur z dr?giem, klacz Wró?ka; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=10&fraza=&idx=57b8c9c0;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_010.jpg";M?J-XVI 1517 / 00 / 010; por. Tadeusz Soko?owski 1 p.szw., skok przez bramk?, siwa klacz; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=11&fraza=&idx=57554853;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_011.jpg";M?J-XVI 1517 / 00 / 011; por. Tadeusz Soko?owski 1 p.szw., skok przez double-barre; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=12&fraza=&idx=570e3722;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_012.jpg";M?J-XVI 1517 / 00 / 012; por. Tadeusz Soko?owski 1 p.szw., skok przez bramk?; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=13&fraza=&idx=396c33f6;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_013.jpg";M?J-XVI 1517 / 00 / 013; por. Tadeusz Soko?owski 1 p.szw., skok przez hyrd?, siwa klacz; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=14&fraza=&idx=39374c87;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_014.jpg";M?J-XVI 1517 / 00 / 014; por. Janusz Komorowski 1 p.u., skok przez okser, wa?ach Zbieg II; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=15&fraza=&idx=b092a4eb;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_015.jpg";M?J-XVI 1517 / 00 / 015; por. Janusz Komorowski 1 p.u., skok przez double-barre, wa?ach Zbieg II; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
http://www.bibliotekadzisiaj.pl/mlij/index.php?sel=16&fraza=&idx=b0c9db9a;"http://www.bibliotekadzisiaj.pl/mlij/foto/1517_00_016.jpg";M?J-XVI 1517 / 00 / 016; por. Janusz Komorowski 1 p.u., skok przez double-barre, wa?ach Zbieg II; wiosna 1933;1933-03-01 - 1933-08-12; Polska, Grudzi?dz, C.W.K. [Centrum Wyszkolenia Kawalerii]; IX Kurs Instruktorów Jazdy Konnej, III Wy?szy Kurs Instruktorów Jazdy Konnej;papier fotograficzny, b?yszcz?cy;odbitka ?elatynowo-sreowa DOP, czarno-bia?a;album rodziny Nieniewskich;
