image;objectUrl;title;inventoryNumber;autor;category;size;provenance;owner;material;technique;dating;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/171272/C59350_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/788";Jan III Sobieski (1629-1696) - portret;Wil.1348;nieznany;Malarstwo polskie;73,0 x 60,0;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;po 1683;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/175129/C08386_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/924";Chi?czyk (pagoda) - figurka;Wil.148;Kaendler Johann Joachim;Ceramika;31,5 x 32,5 x 33,5;Saksonia , Niemcy , Mi?nia;Muzeum Pa?acu Króla Jana III w Wilanowie;metal , drewno , porcelana;farby naszkliwne;ok. 1762 - model, przed 1774 - figurka;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193838/C33739_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1219";Potocki Ignacy (1750-1809) - portret;Wil.1745;Rajecka Anna;Malarstwo polskie;61,0 x 50,0, w ramie: 69,6 x 59,3 x 5,5;Polska;Muzeum Pa?acu Króla Jana III w Wilanowie;tektura;pastel;1783 - 1784;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/177419/C05249_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1256";Potocki Stanis?aw Kostka na koniu (1755-1821) - portret;Wil.1779;David Jacques Louis;Malarstwo obce;306,0 x 220,0;Francja;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1781;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193841/C37797_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1627";Kadzielnica w kszta?cie chi?skiego lwa (psa Fo);Wil.2093;Sztuka Azji;16,0 x 8,0 x 5,0;Chiny;Muzeum Pa?acu Króla Jana III w Wilanowie;br?z , porcelana;szkliwienie;1662 - 1722;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193955/C37628_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/2937";Lubomirska Izabela z Czartoryskich - popiersie;Wil.2854;Tatarkiewicz Jakub;Rze?ba;76,0 x 49,0;Polska , Warszawa;Muzeum Pa?acu Króla Jana III w Wilanowie;gips;rze?bienie;po 1807;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/173133/C64332_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1120";?ydowska narzeczona;Wil.1656;Rembrandt van Rijn;Malarstwo obce;87,0 x 71,0;Holandia;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;XVIII lub XIX;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/173153/C68590_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1126";Menuet w parku;Wil.1662;Chodowiecki Daniel;Malarstwo obce;72,0 x 114,0, w ramie: 90,5 x 131,7 x 9,0;Polska , Gda?sk , Berlin;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;2. po?. XVIII;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/173343/C28811_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1186";Anio? stró?;Wil.1713;Zampieri Domenico zw.Domenichino;Malarstwo obce;129,7 x 99,5;W?ochy , Rzym;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1615 - 1641?;
"http://cyfrowezbiory.muzeum-wilanow.pl:85/images/193837/C13523_copy_v-1_med_prev.jpg";"http://cyfrowezbiory.muzeum-wilanow.pl:85/katalog/obiekt/1221";Potocki Stanis?aw Kostka (1755-1821) - portret;Wil.1747;Graff Anton;Malarstwo obce;68,5 x 55,0, w ramie 86,0 x 70,5 x 8,0;Karlowe Wary , Czechy;Muzeum Pa?acu Króla Jana III w Wilanowie;p?ótno;olej;1785;
